Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Digi-Key],SKU [Digi-Key],Packaging [Digi-Key],Unit Price (@ Batch Size: 1) [Digi-Key],Line Total [Digi-Key],Batch Total [Digi-Key],In Stock [Digi-Key],MOQ [Digi-Key],URL [Digi-Key],Notes
,,,,,,,,,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,,,,,,,,,,
3,T491D227K010AT,KEMET,T491D227K010AT,https://octopart.com/t491d227k010at-kemet-87914,C2 C9 C8,,220u 10V,3,399-8379-1-ND,1310127,,T491D227K010AT,Cut Tape,,,,1.34880898,1.17,,0.5695066706,2523,263,,19,1,1,,2,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0254f60&sid=459&ppid=87914&vpid=51928429&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=06dd2f6&sid=819&ppid=87914&vpid=216588947&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0468f9e&sid=1532&ppid=87914&vpid=273325250&ct=offers,Digi-Key,399-8379-1-ND,Cut Tape,1.34880898,4.04642694,4.04642694,2523,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0254f60&sid=459&ppid=87914&vpid=51928429&ct=offers,
11,0603YC104KAT2A,AVX,0603YC104KAT2A,https://octopart.com/0603yc104kat2a-avx-55386347,C3 C11 C10 C23 C20 C21 C17 C18 C22 C15 C16,,100n,11,478-1239-1-ND,2367633,,0603YC104KAT2A,Cut Tape,Cut Tape,,,0.020618736000000002,3,,,1493489,44562,,102600,1,1,,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b7e07c&sid=459&ppid=55386347&vpid=187968805&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=001ebf1&sid=819&ppid=55386347&vpid=216418142&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=08756c0&sid=1532&ppid=55386347&vpid=187735336&ct=offers,Digi-Key,478-1239-1-ND,Cut Tape,0.020618736000000002,0.226806096,0.226806096,1493489,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b7e07c&sid=459&ppid=55386347&vpid=187968805&ct=offers,
1,T491C106M016AT,KEMET,T491C106M016AT,https://octopart.com/t491c106m016at-kemet-219788,C6,,10u,1,399-3735-1-ND,2462774,,T491C106M016AT,Cut Tape,,,,0.52405954,723,,,50675,607,,110,1,1,,5,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=058e41d&sid=459&ppid=219788&vpid=1087537&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0c11776&sid=819&ppid=219788&vpid=216588907&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0943702&sid=1532&ppid=219788&vpid=88624576&ct=offers,Digi-Key,399-3735-1-ND,Cut Tape,0.52405954,0.52405954,0.52405954,50675,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=058e41d&sid=459&ppid=219788&vpid=1087537&ct=offers,
5,08053G105ZAT2A,AVX,08053G105ZAT2A,https://octopart.com/08053g105zat2a-avx-194975,C12 C1 C13 C4 C14,,1u,5,478-1426-1-ND,2332746,,08053G105ZAT2A,Cut Tape,,,,0.28350762,,,,25647,790,,6701,1,10,,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ba3b5d&sid=459&ppid=194975&vpid=2012150&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ae3bf2&sid=819&ppid=194975&vpid=147273431&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b4d401&sid=1532&ppid=194975&vpid=94209933&ct=offers,Digi-Key,478-1426-1-ND,Cut Tape,0.28350762,1.4175381,1.4175381,25647,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0ba3b5d&sid=459&ppid=194975&vpid=2012150&ct=offers,
1,06035C103KAT2A,AVX,06035C103KAT2A,https://octopart.com/06035c103kat2a-avx-55386346,C7,,10n,1,478-1227-1-ND,1327675,,06035C103KAT2A,Cut Tape,,,,0.08591140000000001,,,,896093,89871,,100000,1,10,,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f07d77&sid=459&ppid=55386346&vpid=187968548&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=056f4c4&sid=819&ppid=55386346&vpid=190161152&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d46127&sid=1532&ppid=55386346&vpid=187735334&ct=offers,Digi-Key,478-1227-1-ND,Cut Tape,0.08591140000000001,0.08591140000000001,0.08591140000000001,896093,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f07d77&sid=459&ppid=55386346&vpid=187968548&ct=offers,
1,0603YD474KAT2A,AVX,0603YD474KAT2A,https://octopart.com/0603yd474kat2a-avx-194840,C5,,470n,1,478-1248-1-ND,2367636,,0603YD474KAT2A,Cut Tape,Cut Tape,,,0.20618736000000001,0.25,,,29454,1474,,6000,1,1,,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0633195&sid=459&ppid=194840&vpid=1355645&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=07223d3&sid=819&ppid=194840&vpid=216418258&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0643212&sid=1532&ppid=194840&vpid=99376189&ct=offers,Digi-Key,478-1248-1-ND,Cut Tape,0.20618736000000001,0.20618736000000001,0.20618736000000001,29454,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0633195&sid=459&ppid=194840&vpid=1355645&ct=offers,
1,T491C106M016AT,KEMET,T491C106M016AT,https://octopart.com/t491c106m016at-kemet-219788,C19,,10u 6V LowESR,1,399-3735-1-ND,2462774,,T491C106M016AT,Cut Tape,,,,0.52405954,723,,,50675,607,,110,1,1,,5,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=058e41d&sid=459&ppid=219788&vpid=1087537&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0c11776&sid=819&ppid=219788&vpid=216588907&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0943702&sid=1532&ppid=219788&vpid=88624576&ct=offers,Digi-Key,399-3735-1-ND,Cut Tape,0.52405954,0.52405954,0.52405954,50675,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=058e41d&sid=459&ppid=219788&vpid=1087537&ct=offers,
1,SML-D12V1WT86,Rohm,SML-D12V1WT86,https://octopart.com/sml-d12v1wt86-rohm-70837113,D2,,PWR-ON,1,SML-D12V1WT86CT-ND,,,,Cut Tape,,,,0.18900508000000002,,,,16219,,,,1,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0972ae4&sid=459&ppid=70837113&vpid=248817868&ct=offers,,,,Digi-Key,SML-D12V1WT86CT-ND,Cut Tape,0.18900508000000002,0.18900508000000002,0.18900508000000002,16219,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0972ae4&sid=459&ppid=70837113&vpid=248817868&ct=offers,
1,SFH4545,Osram Opto,SFH 4545,https://octopart.com/sfh+4545-osram+opto-31094092,D6,,TX-L,1,475-2919-ND,,,SFH4545,Bulk,,,,0.6443355000000001,,,0.48651625820000005,54630,,,1034,1,,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02b4330&sid=459&ppid=31094092&vpid=90899884&ct=offers,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0308b1f&sid=1532&ppid=31094092&vpid=410536086&ct=offers,Digi-Key,475-2919-ND,Bulk,0.6443355000000001,0.6443355000000001,0.6443355000000001,54630,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02b4330&sid=459&ppid=31094092&vpid=90899884&ct=offers,
2,SFH4545,Osram Opto,SFH 4545,https://octopart.com/sfh+4545-osram+opto-31094092,D7 D8,,TX-LD,2,475-2919-ND,,,SFH4545,Bulk,,,,0.6443355000000001,,,0.48651625820000005,54630,,,1034,1,,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02b4330&sid=459&ppid=31094092&vpid=90899884&ct=offers,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0308b1f&sid=1532&ppid=31094092&vpid=410536086&ct=offers,Digi-Key,475-2919-ND,Bulk,0.6443355000000001,1.2886710000000001,1.2886710000000001,54630,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02b4330&sid=459&ppid=31094092&vpid=90899884&ct=offers,
1,SFH4545,Osram Opto,SFH 4545,https://octopart.com/sfh+4545-osram+opto-31094092,D9,,TX-R,1,475-2919-ND,,,SFH4545,Bulk,,,,0.6443355000000001,,,0.48651625820000005,54630,,,1034,1,,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02b4330&sid=459&ppid=31094092&vpid=90899884&ct=offers,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0308b1f&sid=1532&ppid=31094092&vpid=410536086&ct=offers,Digi-Key,475-2919-ND,Bulk,0.6443355000000001,0.6443355000000001,0.6443355000000001,54630,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02b4330&sid=459&ppid=31094092&vpid=90899884&ct=offers,
1,SML-D12P8WT86,Rohm,SML-D12P8WT86,https://octopart.com/sml-d12p8wt86-rohm-9289138,D1,,LED1,1,511-1579-1-ND,2507529,,,Cut Tape,,,,0.29209876,1.44,,,25783,4204,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04a6bab&sid=819&ppid=9289138&vpid=242951204&ct=offers,,,Digi-Key,511-1579-1-ND,Cut Tape,0.29209876,0.29209876,0.29209876,25783,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,
1,SML-D12P8WT86,Rohm,SML-D12P8WT86,https://octopart.com/sml-d12p8wt86-rohm-9289138,D3,,LED2,1,511-1579-1-ND,2507529,,,Cut Tape,,,,0.29209876,1.44,,,25783,4204,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04a6bab&sid=819&ppid=9289138&vpid=242951204&ct=offers,,,Digi-Key,511-1579-1-ND,Cut Tape,0.29209876,0.29209876,0.29209876,25783,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,
1,SML-D12P8WT86,Rohm,SML-D12P8WT86,https://octopart.com/sml-d12p8wt86-rohm-9289138,D4,,LED3,1,511-1579-1-ND,2507529,,,Cut Tape,,,,0.29209876,1.44,,,25783,4204,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04a6bab&sid=819&ppid=9289138&vpid=242951204&ct=offers,,,Digi-Key,511-1579-1-ND,Cut Tape,0.29209876,0.29209876,0.29209876,25783,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,
1,SML-D12P8WT86,Rohm,SML-D12P8WT86,https://octopart.com/sml-d12p8wt86-rohm-9289138,D5,,LED4,1,511-1579-1-ND,2507529,,,Cut Tape,,,,0.29209876,1.44,,,25783,4204,,,1,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04a6bab&sid=819&ppid=9289138&vpid=242951204&ct=offers,,,Digi-Key,511-1579-1-ND,Cut Tape,0.29209876,0.29209876,0.29209876,25783,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d51f99&sid=459&ppid=9289138&vpid=34047033&ct=offers,
2,PREC020SBAN-M71RC,Sullins,PREC020SBAN-M71RC,https://octopart.com/prec020sban-m71rc-sullins-22265312,J4 J5,,ENC-L,2,S1112EC-20-ND,,,,Bag,,,,0.39519244000000003,,,,0,,,,1,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=075e8cc&sid=459&ppid=22265312&vpid=47550285&ct=offers,,,,Digi-Key,S1112EC-20-ND,Bag,0.39519244000000003,0.7903848800000001,0.7903848800000001,0,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=075e8cc&sid=459&ppid=22265312&vpid=47550285&ct=offers,
1,B3B-PH-K-S(LF)(SN),JST,B3B-PH-K-S(LF)(SN),https://octopart.com/b3b-ph-k-s%28lf%29%28sn%29-jst-248869,J1,,PWR1,1,455-1705-ND,9492429,,,Bulk,,,,0.16323166,,,,137074,192556,,,1,10,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e34344&sid=459&ppid=248869&vpid=1392985&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0017a72&sid=819&ppid=248869&vpid=147561566&ct=offers,,,Digi-Key,455-1705-ND,Bulk,0.16323166,0.16323166,0.16323166,137074,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e34344&sid=459&ppid=248869&vpid=1392985&ct=offers,
1,PREC020SBAN-M71RC,Sullins,PREC020SBAN-M71RC,https://octopart.com/prec020sban-m71rc-sullins-22265312,J2,,ICD,1,S1112EC-20-ND,,,,Bag,,,,0.39519244000000003,,,,0,,,,1,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=075e8cc&sid=459&ppid=22265312&vpid=47550285&ct=offers,,,,Digi-Key,S1112EC-20-ND,Bag,0.39519244000000003,0.39519244000000003,0.39519244000000003,0,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=075e8cc&sid=459&ppid=22265312&vpid=47550285&ct=offers,
1,801-87-006-20-001101,Preci-Dip,801-87-006-20-001101,https://octopart.com/801-87-006-20-001101-preci-dip-21424352,J3,,BT,1,1212-1187-ND,,,,Bulk,,,,0.6701089200000001,,,,754,,,,1,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0642f4d&sid=459&ppid=21424352&vpid=59041123&ct=offers,,,,Digi-Key,1212-1187-ND,Bulk,0.6701089200000001,0.6701089200000001,0.6701089200000001,754,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0642f4d&sid=459&ppid=21424352&vpid=59041123&ct=offers,
1,TEFT4300,Vishay,TEFT4300,https://octopart.com/teft4300-vishay-39729854,Q3,,RX-L,1,751-1041-ND,5390709,,TEFT4300,Bulk,,,,0.60997094,663,,,6377,5590,,6,1,1,,2,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00aa4b4&sid=819&ppid=39729854&vpid=255979119&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f1defe&sid=1532&ppid=39729854&vpid=347806903&ct=offers,Digi-Key,751-1041-ND,Bulk,0.60997094,0.60997094,0.60997094,6377,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,
1,TEFT4300,Vishay,TEFT4300,https://octopart.com/teft4300-vishay-39729854,Q4,,RX-R,1,751-1041-ND,5390709,,TEFT4300,Bulk,,,,0.60997094,663,,,6377,5590,,6,1,1,,2,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00aa4b4&sid=819&ppid=39729854&vpid=255979119&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f1defe&sid=1532&ppid=39729854&vpid=347806903&ct=offers,Digi-Key,751-1041-ND,Bulk,0.60997094,0.60997094,0.60997094,6377,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,
